date,Year,Month,parish,price_m2,imputed_flag
2016-08-01,2016,8,Alvalade,11.1,0
2016-08-01,2016,8,Areeiro,11.1,0
2016-08-01,2016,8,Arroios,11.8,0
2016-08-01,2016,8,Avenidas Novas,12.1,0
2016-08-01,2016,8,Belém,10.433333333333334,1
2016-08-01,2016,8,Benfica,8.9,0
2016-08-01,2016,8,Campo de Ourique,11.2,0
2016-08-01,2016,8,Campolide,11.0,0
2016-08-01,2016,8,Estrela,12.5,0
2016-08-01,2016,8,Lumiar,9.2,0
2016-08-01,2016,8,Misericórdia,17.5,0
2016-08-01,2016,8,Parque das Nações,12.7,0
2016-08-01,2016,8,Penha de França,10.3,0
2016-08-01,2016,8,Santa Maria Maior,18.0,0
2016-08-01,2016,8,Santo António,13.1,0
2016-08-01,2016,8,São Domingos de Benfica,10.6,0
2016-08-01,2016,8,São Vicente,12.0,0
2016-09-01,2016,9,Alvalade,10.8,0
2016-09-01,2016,9,Areeiro,10.8,0
2016-09-01,2016,9,Arroios,11.7,0
2016-09-01,2016,9,Avenidas Novas,12.2,0
2016-09-01,2016,9,Belém,10.966666666666667,1
2016-09-01,2016,9,Benfica,9.3,0
2016-09-01,2016,9,Campo de Ourique,11.2,0
2016-09-01,2016,9,Campolide,11.8,0
2016-09-01,2016,9,Estrela,13.0,0
2016-09-01,2016,9,Lumiar,9.2,0
2016-09-01,2016,9,Misericórdia,20.0,0
2016-09-01,2016,9,Parque das Nações,12.9,0
2016-09-01,2016,9,Penha de França,10.6,0
2016-09-01,2016,9,Santa Maria Maior,20.0,0
2016-09-01,2016,9,Santo António,13.2,0
2016-09-01,2016,9,São Domingos de Benfica,10.5,0
2016-09-01,2016,9,São Vicente,15.0,0
2016-10-01,2016,10,Alvalade,10.2,0
2016-10-01,2016,10,Areeiro,11.5,0
2016-10-01,2016,10,Arroios,12.2,0
2016-10-01,2016,10,Avenidas Novas,12.2,0
2016-10-01,2016,10,Belém,11.5,0
2016-10-01,2016,10,Benfica,9.6,0
2016-10-01,2016,10,Campo de Ourique,11.7,0
2016-10-01,2016,10,Campolide,12.0,0
2016-10-01,2016,10,Estrela,13.3,0
2016-10-01,2016,10,Lumiar,9.6,0
2016-10-01,2016,10,Misericórdia,20.0,0
2016-10-01,2016,10,Parque das Nações,12.7,0
2016-10-01,2016,10,Penha de França,10.7,0
2016-10-01,2016,10,Santa Maria Maior,21.1,0
2016-10-01,2016,10,Santo António,13.6,0
2016-10-01,2016,10,São Domingos de Benfica,11.0,0
2016-10-01,2016,10,São Vicente,15.6,0
2016-11-01,2016,11,Alvalade,10.8,0
2016-11-01,2016,11,Areeiro,11.6,0
2016-11-01,2016,11,Arroios,12.9,0
2016-11-01,2016,11,Avenidas Novas,12.1,0
2016-11-01,2016,11,Belém,11.5,0
2016-11-01,2016,11,Benfica,9.0,0
2016-11-01,2016,11,Campo de Ourique,12.2,0
2016-11-01,2016,11,Campolide,13.6,0
2016-11-01,2016,11,Estrela,13.3,0
2016-11-01,2016,11,Lumiar,10.2,0
2016-11-01,2016,11,Misericórdia,20.0,0
2016-11-01,2016,11,Parque das Nações,12.7,0
2016-11-01,2016,11,Penha de França,10.0,0
2016-11-01,2016,11,Santa Maria Maior,23.9,0
2016-11-01,2016,11,Santo António,15.0,0
2016-11-01,2016,11,São Domingos de Benfica,10.8,0
2016-11-01,2016,11,São Vicente,17.5,0
2016-12-01,2016,12,Alvalade,11.1,0
2016-12-01,2016,12,Areeiro,11.7,0
2016-12-01,2016,12,Arroios,13.4,0
2016-12-01,2016,12,Avenidas Novas,11.6,0
2016-12-01,2016,12,Belém,12.4,0
2016-12-01,2016,12,Benfica,8.9,0
2016-12-01,2016,12,Campo de Ourique,11.8,0
2016-12-01,2016,12,Campolide,14.1,0
2016-12-01,2016,12,Estrela,13.3,0
2016-12-01,2016,12,Lumiar,10.2,0
2016-12-01,2016,12,Misericórdia,20.0,0
2016-12-01,2016,12,Parque das Nações,12.8,0
2016-12-01,2016,12,Penha de França,10.0,0
2016-12-01,2016,12,Santa Maria Maior,25.0,0
2016-12-01,2016,12,Santo António,16.9,0
2016-12-01,2016,12,São Domingos de Benfica,10.7,0
2016-12-01,2016,12,São Vicente,16.7,0
2017-01-01,2017,1,Alvalade,12.3,0
2017-01-01,2017,1,Areeiro,11.5,0
2017-01-01,2017,1,Arroios,13.9,0
2017-01-01,2017,1,Avenidas Novas,11.8,0
2017-01-01,2017,1,Belém,12.1,0
2017-01-01,2017,1,Benfica,8.7,0
2017-01-01,2017,1,Campo de Ourique,13.6,0
2017-01-01,2017,1,Campolide,14.2,0
2017-01-01,2017,1,Estrela,13.5,0
2017-01-01,2017,1,Lumiar,10.5,0
2017-01-01,2017,1,Misericórdia,21.7,0
2017-01-01,2017,1,Parque das Nações,12.8,0
2017-01-01,2017,1,Penha de França,10.0,0
2017-01-01,2017,1,Santa Maria Maior,25.7,0
2017-01-01,2017,1,Santo António,18.3,0
2017-01-01,2017,1,São Domingos de Benfica,10.8,0
2017-01-01,2017,1,São Vicente,16.7,0
2017-02-01,2017,2,Alvalade,12.1,0
2017-02-01,2017,2,Areeiro,11.1,0
2017-02-01,2017,2,Arroios,13.7,0
2017-02-01,2017,2,Avenidas Novas,12.4,0
2017-02-01,2017,2,Belém,12.6,0
2017-02-01,2017,2,Benfica,9.1,0
2017-02-01,2017,2,Campo de Ourique,13.3,0
2017-02-01,2017,2,Campolide,14.3,0
2017-02-01,2017,2,Estrela,13.1,0
2017-02-01,2017,2,Lumiar,10.1,0
2017-02-01,2017,2,Misericórdia,21.7,0
2017-02-01,2017,2,Parque das Nações,13.0,0
2017-02-01,2017,2,Penha de França,10.8,0
2017-02-01,2017,2,Santa Maria Maior,25.5,0
2017-02-01,2017,2,Santo António,18.0,0
2017-02-01,2017,2,São Domingos de Benfica,10.8,0
2017-02-01,2017,2,São Vicente,16.7,0
2017-03-01,2017,3,Alvalade,11.4,0
2017-03-01,2017,3,Areeiro,11.2,0
2017-03-01,2017,3,Arroios,13.2,0
2017-03-01,2017,3,Avenidas Novas,12.4,0
2017-03-01,2017,3,Belém,12.8,0
2017-03-01,2017,3,Benfica,9.1,0
2017-03-01,2017,3,Campo de Ourique,13.4,0
2017-03-01,2017,3,Campolide,13.8,0
2017-03-01,2017,3,Estrela,13.2,0
2017-03-01,2017,3,Lumiar,10.7,0
2017-03-01,2017,3,Misericórdia,21.3,0
2017-03-01,2017,3,Parque das Nações,13.2,0
2017-03-01,2017,3,Penha de França,10.7,0
2017-03-01,2017,3,Santa Maria Maior,22.1,0
2017-03-01,2017,3,Santo António,18.0,0
2017-03-01,2017,3,São Domingos de Benfica,11.3,0
2017-03-01,2017,3,São Vicente,16.7,0
2017-04-01,2017,4,Alvalade,11.7,0
2017-04-01,2017,4,Areeiro,11.4,0
2017-04-01,2017,4,Arroios,13.1,0
2017-04-01,2017,4,Avenidas Novas,12.3,0
2017-04-01,2017,4,Belém,12.3,0
2017-04-01,2017,4,Benfica,9.4,0
2017-04-01,2017,4,Campo de Ourique,13.9,0
2017-04-01,2017,4,Campolide,14.0,0
2017-04-01,2017,4,Estrela,13.9,0
2017-04-01,2017,4,Lumiar,10.7,0
2017-04-01,2017,4,Misericórdia,20.0,0
2017-04-01,2017,4,Parque das Nações,13.0,0
2017-04-01,2017,4,Penha de França,10.8,0
2017-04-01,2017,4,Santa Maria Maior,21.8,0
2017-04-01,2017,4,Santo António,17.8,0
2017-04-01,2017,4,São Domingos de Benfica,11.5,0
2017-04-01,2017,4,São Vicente,16.0,0
2017-05-01,2017,5,Alvalade,11.7,0
2017-05-01,2017,5,Areeiro,12.1,0
2017-05-01,2017,5,Arroios,13.5,0
2017-05-01,2017,5,Avenidas Novas,12.4,0
2017-05-01,2017,5,Belém,12.6,0
2017-05-01,2017,5,Benfica,10.3,0
2017-05-01,2017,5,Campo de Ourique,14.4,0
2017-05-01,2017,5,Campolide,14.7,0
2017-05-01,2017,5,Estrela,13.4,0
2017-05-01,2017,5,Lumiar,10.9,0
2017-05-01,2017,5,Misericórdia,19.3,0
2017-05-01,2017,5,Parque das Nações,12.8,0
2017-05-01,2017,5,Penha de França,11.7,0
2017-05-01,2017,5,Santa Maria Maior,21.3,0
2017-05-01,2017,5,Santo António,16.7,0
2017-05-01,2017,5,São Domingos de Benfica,11.7,0
2017-05-01,2017,5,São Vicente,14.5,0
2017-06-01,2017,6,Alvalade,11.5,0
2017-06-01,2017,6,Areeiro,12.4,0
2017-06-01,2017,6,Arroios,14.8,0
2017-06-01,2017,6,Avenidas Novas,14.1,0
2017-06-01,2017,6,Belém,12.6,0
2017-06-01,2017,6,Benfica,10.8,0
2017-06-01,2017,6,Campo de Ourique,14.0,0
2017-06-01,2017,6,Campolide,15.1,0
2017-06-01,2017,6,Estrela,14.3,0
2017-06-01,2017,6,Lumiar,11.0,0
2017-06-01,2017,6,Misericórdia,20.0,0
2017-06-01,2017,6,Parque das Nações,13.0,0
2017-06-01,2017,6,Penha de França,11.9,0
2017-06-01,2017,6,Santa Maria Maior,20.5,0
2017-06-01,2017,6,Santo António,16.7,0
2017-06-01,2017,6,São Domingos de Benfica,11.3,0
2017-06-01,2017,6,São Vicente,15.0,0
2017-07-01,2017,7,Alvalade,12.2,0
2017-07-01,2017,7,Areeiro,13.4,0
2017-07-01,2017,7,Arroios,14.8,0
2017-07-01,2017,7,Avenidas Novas,14.4,0
2017-07-01,2017,7,Belém,12.9,0
2017-07-01,2017,7,Benfica,10.8,0
2017-07-01,2017,7,Campo de Ourique,12.7,0
2017-07-01,2017,7,Campolide,14.5,0
2017-07-01,2017,7,Estrela,15.0,0
2017-07-01,2017,7,Lumiar,11.0,0
2017-07-01,2017,7,Misericórdia,20.0,0
2017-07-01,2017,7,Parque das Nações,13.3,0
2017-07-01,2017,7,Penha de França,11.7,0
2017-07-01,2017,7,Santa Maria Maior,20.0,0
2017-07-01,2017,7,Santo António,16.2,0
2017-07-01,2017,7,São Domingos de Benfica,11.8,0
2017-07-01,2017,7,São Vicente,14.5,0
2017-08-01,2017,8,Alvalade,12.7,0
2017-08-01,2017,8,Areeiro,13.1,0
2017-08-01,2017,8,Arroios,14.7,0
2017-08-01,2017,8,Avenidas Novas,14.4,0
2017-08-01,2017,8,Belém,12.6,0
2017-08-01,2017,8,Benfica,10.8,0
2017-08-01,2017,8,Campo de Ourique,13.5,0
2017-08-01,2017,8,Campolide,13.4,0
2017-08-01,2017,8,Estrela,15.0,0
2017-08-01,2017,8,Lumiar,11.0,0
2017-08-01,2017,8,Misericórdia,19.2,0
2017-08-01,2017,8,Parque das Nações,13.4,0
2017-08-01,2017,8,Penha de França,11.6,0
2017-08-01,2017,8,Santa Maria Maior,19.2,0
2017-08-01,2017,8,Santo António,15.8,0
2017-08-01,2017,8,São Domingos de Benfica,11.6,0
2017-08-01,2017,8,São Vicente,14.2,0
2017-09-01,2017,9,Alvalade,12.9,0
2017-09-01,2017,9,Areeiro,13.5,0
2017-09-01,2017,9,Arroios,14.9,0
2017-09-01,2017,9,Avenidas Novas,14.3,0
2017-09-01,2017,9,Belém,12.2,0
2017-09-01,2017,9,Benfica,10.8,0
2017-09-01,2017,9,Campo de Ourique,13.9,0
2017-09-01,2017,9,Campolide,14.3,0
2017-09-01,2017,9,Estrela,14.9,0
2017-09-01,2017,9,Lumiar,11.4,0
2017-09-01,2017,9,Misericórdia,17.7,0
2017-09-01,2017,9,Parque das Nações,13.7,0
2017-09-01,2017,9,Penha de França,11.7,0
2017-09-01,2017,9,Santa Maria Maior,18.9,0
2017-09-01,2017,9,Santo António,16.7,0
2017-09-01,2017,9,São Domingos de Benfica,11.6,0
2017-09-01,2017,9,São Vicente,14.4,0
2017-10-01,2017,10,Alvalade,13.3,0
2017-10-01,2017,10,Areeiro,12.9,0
2017-10-01,2017,10,Arroios,14.2,0
2017-10-01,2017,10,Avenidas Novas,14.7,0
2017-10-01,2017,10,Belém,12.3,0
2017-10-01,2017,10,Benfica,11.0,0
2017-10-01,2017,10,Campo de Ourique,14.3,0
2017-10-01,2017,10,Campolide,14.0,0
2017-10-01,2017,10,Estrela,15.0,0
2017-10-01,2017,10,Lumiar,11.7,0
2017-10-01,2017,10,Misericórdia,17.7,0
2017-10-01,2017,10,Parque das Nações,13.6,0
2017-10-01,2017,10,Penha de França,11.9,0
2017-10-01,2017,10,Santa Maria Maior,18.6,0
2017-10-01,2017,10,Santo António,16.4,0
2017-10-01,2017,10,São Domingos de Benfica,12.2,0
2017-10-01,2017,10,São Vicente,15.0,0
2017-11-01,2017,11,Alvalade,13.3,0
2017-11-01,2017,11,Areeiro,13.4,0
2017-11-01,2017,11,Arroios,13.6,0
2017-11-01,2017,11,Avenidas Novas,15.0,0
2017-11-01,2017,11,Belém,13.0,0
2017-11-01,2017,11,Benfica,10.6,0
2017-11-01,2017,11,Campo de Ourique,15.2,0
2017-11-01,2017,11,Campolide,13.9,0
2017-11-01,2017,11,Estrela,15.0,0
2017-11-01,2017,11,Lumiar,12.3,0
2017-11-01,2017,11,Misericórdia,17.4,0
2017-11-01,2017,11,Parque das Nações,13.6,0
2017-11-01,2017,11,Penha de França,12.4,0
2017-11-01,2017,11,Santa Maria Maior,17.2,0
2017-11-01,2017,11,Santo António,18.0,0
2017-11-01,2017,11,São Domingos de Benfica,12.4,0
2017-11-01,2017,11,São Vicente,14.1,0
2017-12-01,2017,12,Alvalade,13.2,0
2017-12-01,2017,12,Areeiro,13.8,0
2017-12-01,2017,12,Arroios,14.3,0
2017-12-01,2017,12,Avenidas Novas,15.0,0
2017-12-01,2017,12,Belém,13.4,0
2017-12-01,2017,12,Benfica,10.2,0
2017-12-01,2017,12,Campo de Ourique,15.6,0
2017-12-01,2017,12,Campolide,13.7,0
2017-12-01,2017,12,Estrela,15.2,0
2017-12-01,2017,12,Lumiar,12.4,0
2017-12-01,2017,12,Misericórdia,17.5,0
2017-12-01,2017,12,Parque das Nações,13.5,0
2017-12-01,2017,12,Penha de França,13.0,0
2017-12-01,2017,12,Santa Maria Maior,18.3,0
2017-12-01,2017,12,Santo António,18.0,0
2017-12-01,2017,12,São Domingos de Benfica,12.5,0
2017-12-01,2017,12,São Vicente,14.4,0
2018-01-01,2018,1,Alvalade,14.0,0
2018-01-01,2018,1,Areeiro,14.0,0
2018-01-01,2018,1,Arroios,14.4,0
2018-01-01,2018,1,Avenidas Novas,15.8,0
2018-01-01,2018,1,Belém,13.8,0
2018-01-01,2018,1,Benfica,11.45,1
2018-01-01,2018,1,Campo de Ourique,15.7,0
2018-01-01,2018,1,Campolide,14.3,0
2018-01-01,2018,1,Estrela,15.4,0
2018-01-01,2018,1,Lumiar,11.9,0
2018-01-01,2018,1,Misericórdia,17.9,0
2018-01-01,2018,1,Parque das Nações,13.6,0
2018-01-01,2018,1,Penha de França,13.0,0
2018-01-01,2018,1,Santa Maria Maior,19.2,0
2018-01-01,2018,1,Santo António,18.0,0
2018-01-01,2018,1,São Domingos de Benfica,13.0,0
2018-01-01,2018,1,São Vicente,14.5,0
2018-02-01,2018,2,Alvalade,14.0,0
2018-02-01,2018,2,Areeiro,13.8,0
2018-02-01,2018,2,Arroios,14.6,0
2018-02-01,2018,2,Avenidas Novas,15.2,0
2018-02-01,2018,2,Belém,13.7,0
2018-02-01,2018,2,Benfica,12.7,0
2018-02-01,2018,2,Campo de Ourique,15.3,0
2018-02-01,2018,2,Campolide,14.9,0
2018-02-01,2018,2,Estrela,15.0,0
2018-02-01,2018,2,Lumiar,12.4,0
2018-02-01,2018,2,Misericórdia,18.2,0
2018-02-01,2018,2,Parque das Nações,14.0,0
2018-02-01,2018,2,Penha de França,13.1,0
2018-02-01,2018,2,Santa Maria Maior,20.0,0
2018-02-01,2018,2,Santo António,18.2,0
2018-02-01,2018,2,São Domingos de Benfica,13.0,0
2018-02-01,2018,2,São Vicente,14.7,0
2018-03-01,2018,3,Alvalade,13.3,0
2018-03-01,2018,3,Areeiro,13.7,0
2018-03-01,2018,3,Arroios,14.7,0
2018-03-01,2018,3,Avenidas Novas,15.2,0
2018-03-01,2018,3,Belém,14.1,0
2018-03-01,2018,3,Benfica,12.7,0
2018-03-01,2018,3,Campo de Ourique,14.7,0
2018-03-01,2018,3,Campolide,15.0,0
2018-03-01,2018,3,Estrela,15.6,0
2018-03-01,2018,3,Lumiar,12.7,0
2018-03-01,2018,3,Misericórdia,18.8,0
2018-03-01,2018,3,Parque das Nações,14.1,0
2018-03-01,2018,3,Penha de França,13.3,0
2018-03-01,2018,3,Santa Maria Maior,20.1,0
2018-03-01,2018,3,Santo António,18.1,0
2018-03-01,2018,3,São Domingos de Benfica,13.3,0
2018-03-01,2018,3,São Vicente,14.4,0
2018-04-01,2018,4,Alvalade,13.9,0
2018-04-01,2018,4,Areeiro,13.9,0
2018-04-01,2018,4,Arroios,14.8,0
2018-04-01,2018,4,Avenidas Novas,15.9,0
2018-04-01,2018,4,Belém,13.5,0
2018-04-01,2018,4,Benfica,12.0,0
2018-04-01,2018,4,Campo de Ourique,15.0,0
2018-04-01,2018,4,Campolide,15.0,0
2018-04-01,2018,4,Estrela,16.1,0
2018-04-01,2018,4,Lumiar,12.9,0
2018-04-01,2018,4,Misericórdia,18.2,0
2018-04-01,2018,4,Parque das Nações,14.6,0
2018-04-01,2018,4,Penha de França,13.1,0
2018-04-01,2018,4,Santa Maria Maior,18.2,0
2018-04-01,2018,4,Santo António,20.3,0
2018-04-01,2018,4,São Domingos de Benfica,13.1,0
2018-04-01,2018,4,São Vicente,14.4,0
2018-05-01,2018,5,Alvalade,14.1,0
2018-05-01,2018,5,Areeiro,13.9,0
2018-05-01,2018,5,Arroios,15.0,0
2018-05-01,2018,5,Avenidas Novas,15.8,0
2018-05-01,2018,5,Belém,14.2,0
2018-05-01,2018,5,Benfica,11.8,0
2018-05-01,2018,5,Campo de Ourique,15.6,0
2018-05-01,2018,5,Campolide,14.9,0
2018-05-01,2018,5,Estrela,15.7,0
2018-05-01,2018,5,Lumiar,12.7,0
2018-05-01,2018,5,Misericórdia,18.2,0
2018-05-01,2018,5,Parque das Nações,14.8,0
2018-05-01,2018,5,Penha de França,12.9,0
2018-05-01,2018,5,Santa Maria Maior,18.4,0
2018-05-01,2018,5,Santo António,20.0,0
2018-05-01,2018,5,São Domingos de Benfica,12.8,0
2018-05-01,2018,5,São Vicente,15.6,0
2018-06-01,2018,6,Alvalade,14.1,0
2018-06-01,2018,6,Areeiro,13.7,0
2018-06-01,2018,6,Arroios,15.6,0
2018-06-01,2018,6,Avenidas Novas,15.4,0
2018-06-01,2018,6,Belém,14.8,0
2018-06-01,2018,6,Benfica,12.0,0
2018-06-01,2018,6,Campo de Ourique,15.5,0
2018-06-01,2018,6,Campolide,14.8,0
2018-06-01,2018,6,Estrela,14.3,0
2018-06-01,2018,6,Lumiar,12.4,0
2018-06-01,2018,6,Misericórdia,18.6,0
2018-06-01,2018,6,Parque das Nações,15.3,0
2018-06-01,2018,6,Penha de França,12.5,0
2018-06-01,2018,6,Santa Maria Maior,18.7,0
2018-06-01,2018,6,Santo António,19.6,0
2018-06-01,2018,6,São Domingos de Benfica,13.0,0
2018-06-01,2018,6,São Vicente,15.0,0
2018-07-01,2018,7,Alvalade,14.4,0
2018-07-01,2018,7,Areeiro,12.5,0
2018-07-01,2018,7,Arroios,15.4,0
2018-07-01,2018,7,Avenidas Novas,15.3,0
2018-07-01,2018,7,Belém,15.0,0
2018-07-01,2018,7,Benfica,11.8,0
2018-07-01,2018,7,Campo de Ourique,15.6,0
2018-07-01,2018,7,Campolide,14.5,0
2018-07-01,2018,7,Estrela,14.8,0
2018-07-01,2018,7,Lumiar,12.2,0
2018-07-01,2018,7,Misericórdia,18.8,0
2018-07-01,2018,7,Parque das Nações,15.4,0
2018-07-01,2018,7,Penha de França,12.8,0
2018-07-01,2018,7,Santa Maria Maior,17.6,0
2018-07-01,2018,7,Santo António,18.1,0
2018-07-01,2018,7,São Domingos de Benfica,12.9,0
2018-07-01,2018,7,São Vicente,15.0,0
2018-08-01,2018,8,Alvalade,14.1,0
2018-08-01,2018,8,Areeiro,13.1,0
2018-08-01,2018,8,Arroios,15.1,0
2018-08-01,2018,8,Avenidas Novas,15.5,0
2018-08-01,2018,8,Belém,15.4,0
2018-08-01,2018,8,Benfica,11.8,0
2018-08-01,2018,8,Campo de Ourique,15.7,0
2018-08-01,2018,8,Campolide,14.7,0
2018-08-01,2018,8,Estrela,16.3,0
2018-08-01,2018,8,Lumiar,12.3,0
2018-08-01,2018,8,Misericórdia,18.8,0
2018-08-01,2018,8,Parque das Nações,15.9,0
2018-08-01,2018,8,Penha de França,13.0,0
2018-08-01,2018,8,Santa Maria Maior,17.6,0
2018-08-01,2018,8,Santo António,17.2,0
2018-08-01,2018,8,São Domingos de Benfica,12.5,0
2018-08-01,2018,8,São Vicente,14.6,0
2018-09-01,2018,9,Alvalade,14.4,0
2018-09-01,2018,9,Areeiro,13.0,0
2018-09-01,2018,9,Arroios,15.8,0
2018-09-01,2018,9,Avenidas Novas,15.6,0
2018-09-01,2018,9,Belém,14.6,0
2018-09-01,2018,9,Benfica,11.8,0
2018-09-01,2018,9,Campo de Ourique,15.8,0
2018-09-01,2018,9,Campolide,14.8,0
2018-09-01,2018,9,Estrela,16.9,0
2018-09-01,2018,9,Lumiar,12.4,0
2018-09-01,2018,9,Misericórdia,18.5,0
2018-09-01,2018,9,Parque das Nações,15.9,0
2018-09-01,2018,9,Penha de França,13.2,0
2018-09-01,2018,9,Santa Maria Maior,17.8,0
2018-09-01,2018,9,Santo António,17.8,0
2018-09-01,2018,9,São Domingos de Benfica,12.8,0
2018-09-01,2018,9,São Vicente,14.8,0
2018-10-01,2018,10,Alvalade,14.8,0
2018-10-01,2018,10,Areeiro,13.6,0
2018-10-01,2018,10,Arroios,15.8,0
2018-10-01,2018,10,Avenidas Novas,15.7,0
2018-10-01,2018,10,Belém,14.2,0
2018-10-01,2018,10,Benfica,12.0,0
2018-10-01,2018,10,Campo de Ourique,15.8,0
2018-10-01,2018,10,Campolide,15.5,0
2018-10-01,2018,10,Estrela,16.3,0
2018-10-01,2018,10,Lumiar,12.2,0
2018-10-01,2018,10,Misericórdia,18.2,0
2018-10-01,2018,10,Parque das Nações,16.0,0
2018-10-01,2018,10,Penha de França,13.3,0
2018-10-01,2018,10,Santa Maria Maior,18.2,0
2018-10-01,2018,10,Santo António,18.3,0
2018-10-01,2018,10,São Domingos de Benfica,13.3,0
2018-10-01,2018,10,São Vicente,14.5,0
2018-11-01,2018,11,Alvalade,14.9,0
2018-11-01,2018,11,Areeiro,13.4,0
2018-11-01,2018,11,Arroios,15.3,0
2018-11-01,2018,11,Avenidas Novas,16.0,0
2018-11-01,2018,11,Belém,14.3,0
2018-11-01,2018,11,Benfica,12.4,0
2018-11-01,2018,11,Campo de Ourique,16.0,0
2018-11-01,2018,11,Campolide,15.4,0
2018-11-01,2018,11,Estrela,16.0,0
2018-11-01,2018,11,Lumiar,12.3,0
2018-11-01,2018,11,Misericórdia,18.5,0
2018-11-01,2018,11,Parque das Nações,16.2,0
2018-11-01,2018,11,Penha de França,13.1,0
2018-11-01,2018,11,Santa Maria Maior,19.0,0
2018-11-01,2018,11,Santo António,18.3,0
